"f","α","ϵf","ϵα"
0.65,0.32220374069652613,0.15000000000000002,0.02132163257371032
0.5,0.19508507422927857,0.17500000000000002,0.017319521281656397
0.25,0.12344694045172894,0.1,0.022396006102465983
0.15000000000000002,0.04482337007437824,0.,0.0154596323141998
0.55,0.2577026235911264,0.125,0.031123462228235355
0.35000000000000003,0.10748108709415227,0.07500000000000001,0.01713554578598784
0.65,0.5468442364094718,0.04999999999999999,0.020215837056274964
0.7000000000000001,0.6565390317124258,0.04999999999999999,0.017636288737735
0.1,0.13413404661432543,0.,0.006342551770326
0.15000000000000002,0.10708449703805265,0.024999999999999994,0.013311973901428423
0.1,0.05117301064982036,0.,0.008615002745969972
0.55,-0.2080815323465109,0.15000000000000002,0.04297058126540147
0.45,0.2981949926900028,0.1,0.031831269838991226
0.65,0.6076358369096106,0.024999999999999967,0.015465951718987498
0.25,0.14363482309222741,0.,0.027146433240082958
